1|1
2|35
3|13
4|9
5|10
6|26
7|64
8|27
9|67
10|6
11|3
12|24
13|20
14|7
15|51
16|18
17|43
18|45
19|63
20|30
21|17
22|53
23|32
24|55
25|14
26|61
27|50
28|37
29|59
30|39
31|52
32|46
33|33
34|15
35|2
36|29
37|44
38|57
39|71
40|60
41|22
42|36
43|66
44|65
45|34
46|5
47|69
48|58
49|48
50|25
51|4
52|40
53|49
54|21
55|38
56|68
57|23
58|31
59|8
60|70
61|62
62|42
63|54
64|19
65|28
66|56
67|11
68|41
69|47
70|16
71|80
72|76
73|12
74|72
75|75
76|74
77|73
78|79
79|82
80|77
81|78
82|81
83|85
84|86
85|88
86|87
87|89
88|83
89|84
90|90
91|96
92|100
93|92
94|95
95|102
96|91
97|97
98|106
99|107
100|105
101|101
102|108
103|103
104|98
105|93
106|110
107|104
108|99
109|94
110|109
111|113
112|112
113|111
114|116
115|117
116|118
117|114
118|121
119|122
120|115
121|120
122|119
123|126
124|125
125|124
126|131
127|128
128|127
129|130
130|129
131|133
132|154
133|151
134|144
135|150
136|142
137|155
138|132
139|140
140|134
141|156
142|139
143|146
144|137
145|141
146|153
147|149
148|138
